click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
6,2015/8/11,关于闽CEN339车辆异地年检,闽C###39车辆违法已全部处理，并开了委托异地年检通知书（委托贵州省黔南州交通警察支队车管所年检），可对方车管所说车辆违法外网已消除，内网没消除年检没通过。请给予解决为感！,泉州市公安局,2015/7/31,林荣*同志：您好！您反映的信访事项来邮已收悉，现答复如下：接省厅交警总队通知，机动车登记系统的网络传输的子系统故障，公安部已于2015年7月29日基本修复，因上级批量处理积压业务数据存在个别数据疏漏，导致个别数据仍无法传输，对方车管所无法接收业务信息。为此，需要泉州市公安局交警支队车管大队采取手工点击登记系统的方法进行业务更新以解决传输问题。泉州市公安局交警支队车管大队相关工作人员已于2015年8月5日电话告知您，闽CEN339已完成业务数据更新。感谢您对公安工作的理解和支持！,,,
7,2015/11/3,婚迁迁出证明,我是福建沙县镇头村的，我老公是大连的，我想把户口迁到大连，我现在在大连，办迁出户口证明能让亲戚帮忙办吗?都需要什么材料？,沙县局,2015/10/30,姜兰*您好！你的来邮已收悉，现答复如下*一、可以由亲戚代办。二、提供以下的材料到沙县公安局虬江派出所办理*1、凭大连市公安局（姜兰丈夫所属的公安分局）签发的户口准予迁入证明。2、姜兰的户口薄。另外在大连办理户口准予迁入证明时需提供姜兰的户口薄、身份证、结婚证等材料。感谢你对公安工作的理解与支持。,,,
9,2015/11/30,开通外省车牌在福建省交通违法查询服务,以前在http://jjcx.fjgat.gov.cn:800/jd###cx.aspx（福建公安公众服务网服务大厅）可以查询到外省车牌在福建省的交通违法情况，但近几个月该网页均无法打开，也找不到其他网站能够查询到。建议重新开放此功能，便于及时获知相关违章行为并改正。谢谢！,交警总队（交管局）,2015/11/23,曾俊*：您好，来信收悉，现将有关情况反馈如下：福建公安公众服务网现在不提供车辆查询服务，交警业务服务请登录福建省互联网交通安全综合服务平台（http://fj.122.gov.cn）。该平台是公安部交管局牵头全国联网的互联网服务平台，每个省均有。外省籍的车辆，建议先到车籍地的省注册，之后在全国各地都可以查询自己车辆的违法情况。感谢您对福建公安工作的理解与支持。,,,
20,2016/1/12,网上报警无法实现,1月4日上午，本人在工商银行办理牡丹驾驶员通卡时发现：有人盗用我的个人信息（名字、身份证和驾驶证号码等信息），给一部车牌为“闽G－P7189”的车办了高速ETC卡。经查，该号牌车是一部宝马越野车，车主是我，车辆都是我的个人信息，而且该车每年都有参加年检，目前仍在正常使用中。此事我毫不知情，严重侵犯了我的个人权益。请求公安部门及时查处，并将查处结果告知本人。谢谢！以上报警信息，本人通过网上110报警，一直提示“无法读取报警次数”，实现不了网上报警（福建公安和三明公安的公众服务网都办不了）。此事我毫不知情，如果不能网上报警，还要我本人跑到三明去处理。我的个人信息被人盗用，还要自己请假跑到三明去才能办，显然不太合理。希望能够实现网络报警。谢谢！,交警总队（交管局）,2016/1/12,陈学*：您好！来信收悉，现答复如下：“高速ETC卡”的办理及使用，建议您咨询福建省高速公路公司了解情况。关于“网上报警无法实现”问题，建议您咨询网安部门了解处理方法。对此给您带来的不便，深感抱歉。感谢您对福建公安工作的理解与支持。,,,
2780,2016/3/18,在车位内停车却违法停车,时间：2016-02-2319:24:53地点：连江路三高路口东向。本人车牌闽A###A9将车停在车位内却被定为“机动车违反禁令标志指示”。对此希望交警部门解释下，该车位为正常使用车位，是否有误判的情况。。恳请交警部门对我此次处罚撤销。谢谢。,福州市公安局,2016/3/18,郑明*：您好！感谢您对福州交通管理工作的关心和支持，您的来邮已收悉，现将问题答复如下：诉求人如对交通违法行为的处罚有异议，可携带机动车行驶证和驾驶人驾驶证等相关证件及其复印件至违法信息采集地的交通管理部门申请复核。若违法行为采集机关为辖区大队，则向各大队提出申请；若采集机关为福州市公安*交警支队交通勤务、机动特勤、科研设施大队，则向支队申请。支队受理行政复核、复议窗口设在前横路30号，联系电话：83611219。感谢您对公安工作的理解与支持！,,,
2792,2016/5/12,关于小孩户籍问题,您好，我祖籍四川一直生活莆田户口也是莆田，我家属莆田人及莆田籍贯。小孩出生第一位小孩落户莆田，籍贯即是莆田。前几天到派出所为家里第二位孩子落户即籍贯随父，落户完后回到家家里人情绪激动不原籍贯是四川的。莆田的风俗习惯即是这样。为家庭生活带来了较大影响。能否向上级分管部门提出申请给予特别事宜的处理。将籍贯改为随母亲，让家庭更加的和谐，主要家庭家人观念。非常感谢！,荔城分局,2016/5/12,陈杰*志：你好！你的来邮已收悉，现答复如下：根据福建省公安厅关于印发《福建省公安机关户口管理规范》的通知（闽公综[2014]447号）第一百四十六第之规定：申报户口登记的籍贯，一般填写本人祖父的居住地。按照规定，你小孩的籍贯应填写四川。感谢你对公安工作的理解与支持！,,,
2787,2016/5/18,服务平台根本不让人注册！！！？？？？,http://fj.122.gov.cn/我手机号码早就换了，我要更改机动车联系方式，登录服务平台发现要用原来的手机号码才能注册，这不是死循环吗。根本没办法在网络处理，根本就是为难用户，还要特意去交警大队更改联系方式，你们知道交警大队排队要多久吗？,交警总队（交管局）,2016/5/10,刘浩*：您好！你的来信收悉，现答复如下：手机号码只有与注册用户的车辆或驾驶证信息中的手机号码一致，才能注册。因此，建议您先到交警业务窗口变更手机号码。对此给您带来的不变，敬请谅解！感谢您对公安工作的理解和支持！,,,
2795,2016/5/18,闽Ast699违停复议,"闽As##99,通知书编号：#5#######72#6#52，与2016-04-2608:#0:05桔园四路永辉超市门口东向汽车在道路上违反规定停放且驾驶人不在现场，妨碍其他车辆、行人通行的违停申请复议，理由如下：1.改位置有划标准停车线2.由于前车停放在俩个车位中间，本车车长5.2米，所以超出停车线。",福州市公安局,2016/5/18,林谷*：您好！您的来邮已收悉，现答复如下：经核查违法车辆图片，闽AST699小型汽车未按规定停放在规划的停车位内。因此，闽AST699小型汽车于2016-04-2608:30:05在桔园四路永辉超市门口东向实施汽车在道路上违反规定停放且驾驶人不在现场，妨碍其他车辆、行人通行的违法行为，事实清楚，证据充分。感谢您对公安工作的理解与支持。,,,
2785,2016/5/24,请求核实撤消电子监控记录,我司车辆闽G###38驾驶员座位安全带为二点式安全带，2015年7月21日22：03分，该车在长深高速B道3157KM+700M被电子监控记录为驾驶人未按规定使用安全带，实际情况是驾驶员有系二点式安全带，特请求核实撤消该电子监控记录，谢谢。,交警总队（交管局）,2016/5/4,吴胜*：您好！你的来信收悉，现答复如下：经我工作人员核实，你反映的问题已经解决，相关部门按规定撤销已录入公安交通管理综合应用平台的相关违法记录。感谢您对公安工作的支持与理解。,满意,2016/2/6 4:02,交警多次电话我了解情况，已撤销，谢谢
2789,2016/5/30,一起违章疑问,车号闽A###T8，违章时间2016年4月24日03：26：43。准备前往三八路，长乐路与塔头路中间和左侧均为左转道，当日下暴雨，积水反光，路面指示标示无法看清，我走中间车道。直行绿灯时，我直行了。被按闯红灯处罚了。望能酌情予以判别处理，可否按不按道行驶处罚，少扣分。,福州市公安局,2016/5/30,杨锋*您好！您的来邮已收悉，现答复如下*车辆在左转车道为红灯时越过停止线继续行驶，构成违反交通信号灯的交通违法行为。当该车道红灯亮起时，车辆需在停止线内等候通行，一旦越过停止线继续行驶，即构成违反交通信号灯的交通违法行为。经核查，闽A927T8小车于2016-04-2403:26:43在长乐路塔头路口南向实施驾驶机动车违反道路交通信号灯通行的违法行为，事实清楚，证据充分。感谢您对公安工作的理解与支持！,,,
2783,2016/5/30,对高速公路上的限速标示提点建议及问题咨询,1、泉州到永春的高速基本为3车道，沈海高速大部分为4车道，现有高速限速标志基本上都放在行车方向的右侧，如果车流量大就容易被货车挡住视线，无法及时看清标识，建议在行车方向的左侧也一样放置限速及其他警示标识。2、建议在所有固定测速探头处放置限速标志。3、近期发现泉州到永春的高速已经从原来的限速100改为小车限速110了，限速80路段提高到100了，但在部分路段还有原来的限速标志，是旧标志还未清理还是真的有限速？想问一下，莆永高速湖头到漳平路段的路况也很好，车辆较少，也会提速吗？希望能提高到100.4、问题咨询：如果一个十字路口，没有禁止掉头标志，我在左转灯亮时就可以掉头吧？那我需要开出一段距离，离开人行道后再掉头吗？还是可以穿过中间安全隔离带直接掉头？,交警总队（交管局）,2016/5/24,陈咨财:您好，来信收悉，现将有关情况反馈如下：高速公路交通标志应当按照相关法律规定及规范进行设置，不得随意更改。目前，您反映的高速公路限速标志问题，高速公路管理部门已在着手进行更新清理工作。感谢您对福建公安工作的理解与支持。,,,
